condition_id,kind,seed,manifest_status,tar_action_member,tar_prompt_member,game_variant,goal_framing,model,persona,instruction_wording,response_format,temperature,persona_format,n_choices,mean_choice,mean_reasoning_depth,mass_17_19,mass_19_20,mass_17_20,h1_score,h3_score,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,declared_n_choices,declared_mean_choice,declared_mean_reasoning_depth,declared_mass_17_19,declared_mass_19_20,declared_mass_17_20,declared_h1_score,declared_h3_score,declared_count_11,declared_count_12,declared_count_13,declared_count_14,declared_count_15,declared_count_16,declared_count_17,declared_count_18,declared_count_19,declared_count_20,prompt_choice_exact_match,prompt_choice_multiset_match,first_token_choice_exact_match,prompt_length_mean,prompt_hashes,prompt_prompt_length,prompt_numeric_token_count,prompt_token_11_count,prompt_token_20_count,prompt_contains_descending_phrase,prompt_contains_number_words,prompt_contains_one_shot,prompt_contains_private,prompt_opponent_word_count,prompt_participant_word_count,prompt_persona_length,behavior_source
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,3001,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3001/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3001/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1510.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,3002,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3002/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3002/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1510.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,3003,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3003/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3003/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1510.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,3004,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3004/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3004/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1510.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,3005,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3005/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3005/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1510.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,3001,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3001/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3001/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1604.0,7423eaa16194005a26e0ee2ca057fea9d7bae139efe1dc6d6a3d8898d4afa269,1604.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,3002,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3002/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3002/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1604.0,7423eaa16194005a26e0ee2ca057fea9d7bae139efe1dc6d6a3d8898d4afa269,1604.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,3003,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3003/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3003/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,2,15.5,4.5,0.5,0.5,0.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,2,15.5,4.5,0.5,0.5,0.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,1,1604.0,7423eaa16194005a26e0ee2ca057fea9d7bae139efe1dc6d6a3d8898d4afa269,1604.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,3004,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3004/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3004/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,2,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,0,2,0,0,0,0,0,0,0,0,1,1,1,1604.0,7423eaa16194005a26e0ee2ca057fea9d7bae139efe1dc6d6a3d8898d4afa269,1604.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,recorded_action_event
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,3005,success,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3005/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive/seed_3005/run/prompts_and_responses.jsonl.gz,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,2,15.5,4.5,0.5,0.5,0.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,2,15.5,4.5,0.5,0.5,0.5,0.0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,1,1604.0,7423eaa16194005a26e0ee2ca057fea9d7bae139efe1dc6d6a3d8898d4afa269,1604.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,recorded_action_event
