claim_id,paper_location,description,unrounded_value,displayed_value,generating_script,raw_input,result_file,exact_selector,rounding_rule,paper_token,validation_status
TOTAL-STUDIES,Abstract,released sweeps audited,5,five,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.studies,as displayed,five,verified
TOTAL-RUNS,Abstract,released runs audited,5213,"5,213",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.runs,as displayed,"5,213",verified
GAME-DIFF,Abstract,free-text game action divergences,288,288,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.free_text_action_field_divergences,as displayed,288,verified
PERSONA-EXTRA,Abstract/Table 1,extra Persona Expression post events,2289,"2,289",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.persona_extra_post_events,as displayed,"2,289",verified
POLAR-ABOVE-CAP,Abstract/Table 1,Polarization executed events above advertised cap,60634,"60,634",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/summary.json,totals.polarization_executed_events_above_cap,as displayed,"60,634",verified
STRICT-PROBE,Abstract/Table 1,Observed Norms strict integer discrepancies,0,0,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_observed_norms_final/summary.json,strict_integer_fidelity == 1.0,as displayed,0,verified
Beauty Contest-RUNS,Table 1,Beauty Contest runs,670,670,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,runs",as displayed,670,verified
Beauty Contest-DIFF,Table 1,Beauty Contest execution-interface difference,230,"230/1,340",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,execution_difference",as displayed,"230/1,340",verified
Beauty Contest-CONSEQ,Table 1,Beauty Contest consequence phrase,target verdict changes: H2;H6b,H2 and H6b,analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Beauty Contest,scientific_impact",as displayed,H2 and H6b,verified
Iterated PD-RUNS,Table 1,Iterated PD runs,3465,"3,465",analysis/build_cross_study_summary.py plus per-study audit scripts,official socsim26 released sweep tarballs; WVS anchors not redistributed,artifacts_cross_study_final/execution_interface_audit.csv,"study=Iterated PD,runs",as displayed,"3,465",verified
